Value(ms)   Percentile  TotalCount  1/(1-Percentile)
2.366389    0.000000    0           1.000000
3.094008    0.100000    900         1.111111
3.279126    0.200000    1800        1.250000
3.427661    0.300000    2700        1.428571
3.570484    0.400000    3600        1.666667
3.721168    0.500000    4500        2.000000
3.812103    0.550000    4950        2.222222
3.911738    0.600000    5400        2.500000
4.031696    0.650000    5850        2.857143
4.172453    0.700000    6300        3.333333
4.373376    0.750000    6750        4.000000
4.481728    0.775000    6975        4.444444
4.609198    0.800000    7200        5.000000
4.762143    0.825000    7425        5.714286
4.931341    0.850000    7650        6.666667
5.128580    0.875000    7875        8.000000
5.258172    0.887500    7988        8.888889
5.391770    0.900000    8100        10.000000
5.565712    0.912500    8213        11.428571
5.789005    0.925000    8325        13.333333
6.107243    0.937500    8438        16.000000
6.322659    0.943750    8494        17.777778
6.632633    0.950000    8550        20.000000
7.064348    0.956250    8606        22.857143
7.693140    0.962500    8663        26.666667
9.010328    0.968750    8719        32.000000
10.086646   0.971875    8747        35.555556
12.101427   0.975000    8775        40.000000
15.969462   0.978125    8803        45.714286
20.848853   0.981250    8831        53.333333
27.293244   0.984375    8859        64.000000
30.883161   0.985938    8873        71.113640
34.422433   0.987500    8888        80.000000
39.518517   0.989062    8902        91.424392
45.294612   0.990625    8916        106.666667
60.068522   0.992188    8930        128.008193
73.667617   0.992969    8937        142.227279
91.402454   0.993750    8944        160.000000
121.324842  0.994531    8951        182.848784
159.128187  0.995313    8958        213.356091
250.843639  0.996094    8965        256.016385
336.246926  0.996484    8968        284.414107
421.869196  0.996875    8972        320.000000
496.386833  0.997266    8975        365.764448
538.191395  0.997656    8979        426.621160
580.103148  0.998047    8982        512.032770
596.171785  0.998242    8984        568.828214
612.018615  0.998437    8986        639.795266
627.946711  0.998633    8988        731.528895
641.569981  0.998828    8989        853.242321
653.317704  0.999023    8991        1023.541453
659.221688  0.999121    8992        1137.656428
665.125672  0.999219    8993        1280.409731
670.969411  0.999316    8994        1461.988304
677.753300  0.999414    8995        1706.484642
687.091248  0.999512    8996        2049.180328
691.760222  0.999561    8996        2277.904328
696.333911  0.999609    8996        2557.544757
701.002885  0.999658    8997        2923.976608
705.671859  0.999707    8997        3412.969283
710.340833  0.999756    8998        4098.360656
712.759850  0.999780    8998        4545.454545
716.628916  0.999805    8998        5128.205128
720.343220  0.999829    8998        5847.953216
724.212286  0.999854    8999        6849.315068
727.926589  0.999878    8999        8196.721311
729.783741  0.999890    8999        9090.909091
731.640893  0.999902    8999        10204.081633
733.652807  0.999915    8999        11764.705882
735.509959  0.999927    8999        13698.630137
737.367111  0.999939    8999        16393.442623
738.209708  0.999945    9000        18181.818182
738.209708  0.999951    9000        20408.163265
738.209708  0.999957    9000        23255.813953
738.209708  0.999963    9000        27027.027027
738.209708  0.999969    9000        32258.064516
738.209708  0.999973    9000        37037.037037
738.209708  0.999976    9000        41666.666667
738.209708  0.999979    9000        47619.047619
738.209708  0.999982    9000        55555.555556
738.209708  0.999985    9000        66666.666667
738.209708  0.999986    9000        71428.571429
738.209708  0.999988    9000        83333.333333
738.209708  0.999989    9000        90909.090909
738.209708  0.999991    9000        111111.111111
738.209708  0.999992    9000        125000.000000
738.209708  0.999993    9000        142857.142858
738.209708  0.999994    9000        166666.666668
738.209708  0.999995    9000        199999.999999
738.209708  0.999996    9000        250000.000000
738.209708  0.999997    9000        333333.333336
738.209708  0.999998    9000        500000.000013
738.209708  0.999999    9000        999999.999971
738.209708  1.000000    9000        10000000.000000
