Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.227111   0.000000    0           1.000000
0.347971   0.100000    900         1.111111
0.389640   0.200000    1800        1.250000
0.428632   0.300000    2700        1.428571
0.460841   0.400000    3600        1.666667
0.494905   0.500000    4500        2.000000
0.513181   0.550000    4950        2.222222
0.533704   0.600000    5400        2.500000
0.556682   0.650000    5850        2.857143
0.582550   0.700000    6300        3.333333
0.613618   0.750000    6750        4.000000
0.631789   0.775000    6975        4.444444
0.654607   0.800000    7200        5.000000
0.681108   0.825000    7425        5.714286
0.714076   0.850000    7650        6.666667
0.754388   0.875000    7875        8.000000
0.779167   0.887500    7988        8.888889
0.809804   0.900000    8100        10.000000
0.854955   0.912500    8213        11.428571
0.913708   0.925000    8325        13.333333
0.993414   0.937500    8438        16.000000
1.033775   0.943750    8494        17.777778
1.074655   0.950000    8550        20.000000
1.116973   0.956250    8606        22.857143
1.158657   0.962500    8663        26.666667
1.201474   0.968750    8719        32.000000
1.223081   0.971875    8747        35.555556
1.246549   0.975000    8775        40.000000
1.279745   0.978125    8803        45.714286
1.302290   0.981250    8831        53.333333
1.340373   0.984375    8859        64.000000
1.364199   0.985938    8873        71.113640
1.388010   0.987500    8888        80.000000
1.416952   0.989062    8902        91.424392
1.447305   0.990625    8916        106.666667
1.511604   0.992188    8930        128.008193
1.545937   0.992969    8937        142.227279
1.577583   0.993750    8944        160.000000
1.646654   0.994531    8951        182.848784
1.773120   0.995313    8958        213.356091
1.919191   0.996094    8965        256.016385
2.002998   0.996484    8968        284.414107
2.087020   0.996875    8972        320.000000
2.390313   0.997266    8975        365.764448
2.700886   0.997656    8979        426.621160
3.041232   0.998047    8982        512.032770
3.316743   0.998242    8984        568.828214
3.592253   0.998437    8986        639.795266
3.869177   0.998633    8988        731.528895
4.504127   0.998828    8989        853.242321
5.214085   0.999023    8991        1023.541453
5.570884   0.999121    8992        1137.656428
5.927683   0.999219    8993        1280.409731
6.280841   0.999316    8994        1461.988304
6.826690   0.999414    8995        1706.484642
7.413162   0.999512    8996        2049.180328
7.706397   0.999561    8996        2277.904328
7.993649   0.999609    8996        2557.544757
8.286884   0.999658    8997        2923.976608
8.580120   0.999707    8997        3412.969283
8.873356   0.999756    8998        4098.360656
9.020019   0.999780    8998        4545.454545
9.203810   0.999805    8998        5128.205128
9.380250   0.999829    8998        5847.953216
9.564041   0.999854    8999        6849.315068
9.740480   0.999878    8999        8196.721311
9.828700   0.999890    8999        9090.909091
9.916919   0.999902    8999        10204.081633
10.012491  0.999915    8999        11764.705882
10.100710  0.999927    8999        13698.630137
10.188930  0.999939    8999        16393.442623
10.228956  0.999945    9000        18181.818182
10.228956  0.999951    9000        20408.163265
10.228956  0.999957    9000        23255.813953
10.228956  0.999963    9000        27027.027027
10.228956  0.999969    9000        32258.064516
10.228956  0.999973    9000        37037.037037
10.228956  0.999976    9000        41666.666667
10.228956  0.999979    9000        47619.047619
10.228956  0.999982    9000        55555.555556
10.228956  0.999985    9000        66666.666667
10.228956  0.999986    9000        71428.571429
10.228956  0.999988    9000        83333.333333
10.228956  0.999989    9000        90909.090909
10.228956  0.999991    9000        111111.111111
10.228956  0.999992    9000        125000.000000
10.228956  0.999993    9000        142857.142858
10.228956  0.999994    9000        166666.666668
10.228956  0.999995    9000        199999.999999
10.228956  0.999996    9000        250000.000000
10.228956  0.999997    9000        333333.333336
10.228956  0.999998    9000        500000.000013
10.228956  0.999999    9000        999999.999971
10.228956  1.000000    9000        10000000.000000
