Value(ms)     Percentile  TotalCount  1/(1-Percentile)
0.159116      0.000000    0           1.000000
0.971154      0.100000    1872        1.111111
551.204712    0.200000    3744        1.250000
25913.011409  0.300000    5616        1.428571
26206.136365  0.400000    7488        1.666667
26209.161489  0.500000    9360        2.000000
26210.227058  0.550000    10296       2.222222
26211.506809  0.600000    11232       2.500000
26212.881869  0.650000    12168       2.857143
26214.138055  0.700000    13104       3.333333
26215.950261  0.750000    14040       4.000000
26216.838976  0.775000    14508       4.444444
26218.191190  0.800000    14976       5.000000
26219.889748  0.825000    15444       5.714286
26222.719910  0.850000    15912       6.666667
26226.760446  0.875000    16380       8.000000
26238.094353  0.887500    16614       8.888889
26268.735927  0.900000    16848       10.000000
26300.289401  0.912500    17082       11.428571
26331.081961  0.925000    17316       13.333333
26360.578900  0.937500    17550       16.000000
26375.163722  0.943750    17667       17.777778
26389.883343  0.950000    17784       20.000000
26406.462990  0.956250    17901       22.857143
26423.860223  0.962500    18018       26.666667
26443.565717  0.968750    18135       32.000000
26456.696029  0.971875    18194       35.555556
26469.906378  0.975000    18252       40.000000
26481.825545  0.978125    18311       45.714286
26496.806823  0.981250    18369       53.333333
26516.278083  0.984375    18428       64.000000
26523.344945  0.985938    18457       71.113640
26533.355709  0.987500    18486       80.000000
26543.772720  0.989062    18515       91.424392
26552.242267  0.990625    18545       106.666667
26564.093760  0.992188    18574       128.008193
26570.707648  0.992969    18588       142.227279
26577.472437  0.993750    18603       160.000000
26584.576598  0.994531    18618       182.848784
26591.689855  0.995313    18632       213.356091
26608.880913  0.996094    18647       256.016385
26618.899842  0.996484    18654       284.414107
26628.944460  0.996875    18662       320.000000
26639.560055  0.997266    18669       365.764448
26662.625406  0.997656    18676       426.621160
26685.749899  0.998047    18683       512.032770
26697.282574  0.998242    18687       568.828214
26708.815250  0.998437    18691       639.795266
26720.801432  0.998633    18694       731.528895
26732.756305  0.998828    18698       853.242321
26744.711177  0.999023    18702       1023.541453
26750.719267  0.999121    18704       1137.656428
26756.600681  0.999219    18705       1280.409731
26762.285978  0.999316    18707       1461.988304
26768.029887  0.999414    18709       1706.484642
26773.773796  0.999512    18711       2049.180328
26776.645750  0.999561    18712       2277.904328
26779.459093  0.999609    18713       2557.544757
26782.330547  0.999658    18714       2923.976608
26785.197805  0.999707    18715       3412.969283
26788.065063  0.999756    18715       4098.360656
26789.469435  0.999780    18716       4545.454545
26790.932322  0.999805    18716       5128.205128
26792.336693  0.999829    18717       5847.953216
26793.799580  0.999854    18717       6849.315068
26795.203951  0.999878    18718       8196.721311
26795.906137  0.999890    18718       9090.909091
26796.608323  0.999902    18718       10204.081633
26797.369024  0.999915    18718       11764.705882
26800.153375  0.999927    18719       13698.630137
26800.153375  0.999939    18719       16393.442623
26800.153375  0.999945    18719       18181.818182
26800.153375  0.999951    18719       20408.163265
26800.153375  0.999957    18719       23255.813953
26800.153375  0.999963    18719       27027.027027
26800.153375  0.999969    18719       32258.064516
26800.153375  0.999973    18719       37037.037037
26800.153375  0.999976    18720       41666.666667
26800.153375  0.999979    18720       47619.047619
26800.153375  0.999982    18720       55555.555556
26800.153375  0.999985    18720       66666.666667
26800.153375  0.999986    18720       71428.571429
26800.153375  0.999988    18720       83333.333333
26800.153375  0.999989    18720       90909.090909
26800.153375  0.999991    18720       111111.111111
26800.153375  0.999992    18720       125000.000000
26800.153375  0.999993    18720       142857.142858
26800.153375  0.999994    18720       166666.666668
26800.153375  0.999995    18720       199999.999999
26800.153375  0.999996    18720       250000.000000
26800.153375  0.999997    18720       333333.333336
26800.153375  0.999998    18720       500000.000013
26800.153375  0.999999    18720       999999.999971
26800.153375  1.000000    18720       10000000.000000
